Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
M,55784,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/22/2014
F,90227.7486,HHS,Department of Health and Human Services,Fulltime,Social Worker III,11/05/2012
M,40650.0457,CEC,Community Engagement Cluster,Fulltime,Public Service Worker II,08/05/2007
M,59322.78,POL,Department of Police,Fulltime,Police Officer III,10/06/2014
M,75693.42,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
M,61059.55,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,77879.8577,DEP,Department of Environmental Protection,Fulltime,Program Manager I,06/01/2015
M,77347,POL,Department of Police,Fulltime,Police Officer III,07/17/2006
M,67030,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/02/2008
M,47144.9482,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,02/22/2016
M,59922,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
F,89085.546,REC,Department of Recreation,Fulltime,Management and Budget Specialist III,04/08/2013
M,63772.7013,DOT,Department of Transportation,Fulltime,Bus Operator,07/18/1999
M,99710,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,02/20/2001
M,96628.455,HHS,Department of Health and Human Services,Parttime,Medical Doctor III - Psychiatrist,06/27/2016
M,60478.201,LIB,Department of Public Libraries,Fulltime,Library Assistant I,08/08/1993
M,76793.4468,DOT,Department of Transportation,Fulltime,Program Manager I,12/10/2007
F,87107,HHS,Department of Health and Human Services,Fulltime,Administrative Specialist II,05/07/2001
M,100370,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,07/26/2004
M,72910.89,HHS,Department of Health and Human Services,Fulltime,Radiologic Technologist,10/30/2000
F,102508.9659,HHS,Department of Health and Human Services,Fulltime,Supervisory Therapist,06/12/2006
M,40644.4806,DOT,Department of Transportation,Fulltime,Transit Bus Operator,07/10/2017
M,55622.7126,DLC,Department of Liquor Control,Fulltime,Alcohol Beverage Purchasing Specialist,10/01/2006
F,17988.8373,LIB,Department of Public Libraries,Parttime,Library Desk Assistant,04/17/2017
M,78492.15,DGS,Department of General Services,Fulltime,HVAC Mechanic II,12/10/2000
M,46280.745,DLC,Department of Liquor Control,Fulltime,Supply Technician III,04/16/2000
F,90656,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),07/09/2001
M,94782.6,DOT,Department of Transportation,Fulltime,Construction Representative III,02/22/2005
M,87549,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,01/14/2002
M,65689.5274,DEP,Department of Environmental Protection,Fulltime,Program Specialist II,02/06/2006
F,70690.9302,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,03/08/2016
F,75653,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,02/07/2000
F,68751.06,POL,Department of Police,Fulltime,Police Officer III,07/16/2012
F,81901.1121,CAT,County Attorney's Office,Fulltime,Administrative Specialist III,10/11/1994
M,138683.2086,NDA,Non-Departmental Account,Fulltime,Senior Investment Officer,11/16/2015
F,87001,POL,Department of Police,Fulltime,Master Police Officer,01/18/2005
F,139534.0856,HCA,Department of Housing and Community Affairs,Fulltime,Manager III,07/29/1985
F,109482.2123,HCA,Department of Housing and Community Affairs,Fulltime,Investigator III,01/25/1987
F,61938.6738,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,07/06/2010
F,35315.31,CEC,Community Engagement Cluster,Parttime,Program Manager I,12/14/2015
M,75653,DGS,Department of General Services,Fulltime,HVAC Mechanic I,09/17/2007
F,45401.43,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,07/11/2016
M,110359,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,11/04/2002
F,41963,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,12/18/2013
F,23835.3052,LIB,Department of Public Libraries,Parttime,Library Associate,09/26/2014
F,92227.14,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist III,09/24/2000
F,95934.4884,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist III,12/09/1992
M,61867.08,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/01/2010
F,101313.478,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,12/02/1985
F,122393.6281,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,10/10/2011
M,65490,POL,Department of Police,Fulltime,Police Officer III,06/01/2015
F,84059,POL,Department of Police,Fulltime,Master Police Officer,01/17/2006
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,09/23/2002
F,52741.26,POL,Department of Police,Fulltime,Police Officer III,07/11/2016
F,107895.8053,COR,Correction and Rehabilitation,Fulltime,Correctional Shift Commander (Lieutenant),02/27/1995
M,110579.22,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/11/2000
M,55689.48,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
F,96697.4,COR,Correction and Rehabilitation,Fulltime,Accountant/Auditor III,09/17/2001
F,162058.54,CAT,County Attorney's Office,Fulltime,Manager II,08/26/2002
M,83224,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,11/29/1999
F,87977.8944,POL,Department of Police,Fulltime,Office Services Coordinator,10/01/2001
M,104247.15,COR,Correction and Rehabilitation,Fulltime,Correctional Shift Commander (Lieutenant),08/10/1998
F,17988.8373,LIB,Department of Public Libraries,Parttime,Library Desk Assistant,05/15/2017
M,75479.32,POL,Department of Police,Fulltime,Police Officer III,07/16/2007
F,99614.8052,HHS,Department of Health and Human Services,Fulltime,Social Worker III,11/13/2000
M,85656.165,DOT,Department of Transportation,Fulltime,District Supervisor,07/06/1998
M,63807.1506,DGS,Department of General Services,Fulltime,Mechanic Technician II,01/22/2008
M,47103.447,POL,Department of Police,Fulltime,Office Services Coordinator,01/03/2012
M,80056,POL,Department of Police,Fulltime,Police Officer III,07/18/2011
F,62479.38,HHS,Department of Health and Human Services,Parttime,Community Health Nurse II,08/06/2012
M,61664.1,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/01/2010
F,78558.45,DOT,Department of Transportation,Fulltime,Transit Operations Supervisor,02/24/2008
F,95710.527,POL,Department of Police,Fulltime,Senior Forensic Scientist,10/15/2007
F,67515.14,HHS,Department of Health and Human Services,Fulltime,Fiscal Assistant,01/24/2000
M,45216.3042,DOT,Department of Transportation,Fulltime,Equipment Operator I,06/17/2013
F,65504.817,CUS,Community Use of Public Facilities,Fulltime,Program Specialist I,09/19/2016
M,58403.8644,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,08/21/2006
M,56638,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),08/31/2009
F,26328.6898,POL,Department of Police,Parttime,Crossing Guard,01/24/1994
F,105448.722,HHS,Department of Health and Human Services,Fulltime,Therapist II,09/02/1986
M,67200.35,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,112953.6066,DOT,Department of Transportation,Fulltime,Manager III,09/29/1997
M,94782.6,DGS,Department of General Services,Fulltime,Construction Representative III,08/10/1998
M,52103.64,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/09/2015
M,61054.98,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),09/24/2012
F,96639.956,HCA,Department of Housing and Community Affairs,Fulltime,Housing Code Inspector III,10/21/1985
M,110185.32,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,08/17/1998
M,90613.74,POL,Department of Police,Fulltime,Police Sergeant,01/17/2006
M,171204.9372,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Division Chief,02/26/1990
M,121968,DOT,Department of Transportation,Fulltime,Manager III,10/16/2017
F,78172.38,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/19/2004
F,73549.95,DOT,Department of Transportation,Fulltime,Planning Specialist III,08/23/2004
F,52048.7542,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,09/22/2014
M,68366.76,POL,Department of Police,Fulltime,Police Officer III,10/11/2010
M,97654.8,DGS,Department of General Services,Fulltime,Construction Representative III,05/31/2005
M,71157.24,POL,Department of Police,Fulltime,Police Officer III,07/12/2010
F,167273.26,CEX,Offices of the County Executive,Fulltime,Assistant Chief Administrative Officer,12/02/2013
F,27926.864,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,10/30/2017
F,23614.9992,OMB,Office of Management and Budget,Parttime,Office Clerk,05/01/2017
F,82641.2199,HHS,Department of Health and Human Services,Fulltime,Administrative Specialist II,05/24/1999
F,37649.787,HHS,Department of Health and Human Services,Parttime,Social Worker III,04/13/2009
M,80856.56,POL,Department of Police,Fulltime,Police Officer III,01/17/2006
F,57563.7,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,92172.3516,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist II,08/19/1996
M,51018.0858,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,09/22/2014
M,93112.8858,DOT,Department of Transportation,Fulltime,Highway Inspector II,05/21/1989
M,144942,POL,Department of Police,Fulltime,Manager II,07/10/2017
F,75834.63,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,02/01/1999
M,114682.68,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/08/1999
M,75913.5,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/19/2007
M,91968,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,10/17/2005
F,106293.41,HHS,Department of Health and Human Services,Fulltime,Nurse Manager,04/21/2003
M,55195.2954,DOT,Department of Transportation,Fulltime,Safety and Training Instructor,09/10/2007
F,98362.6,HHS,Department of Health and Human Services,Fulltime,Social Worker III,11/01/2004
F,88849.14,FIN,Department of Finance,Fulltime,Administrative Specialist II,02/20/2001
M,84616.6986,DGS,Department of General Services,Fulltime,Equipment Maintenance Crew Chief,01/22/2008
F,122561.4456,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,01/21/1986
F,84737.07,POL,Department of Police,Fulltime,Client Assistance Specialist,03/31/1980
M,179505.69,DTS,Department of Technology Services,Fulltime,Manager I,10/05/1998
M,97149.6207,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,01/27/2014
M,85454.08,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,12/13/2004
M,91746.27,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/11/2000
M,66408.51,DOT,Department of Transportation,Fulltime,Equipment Operator II,05/11/1998
M,52672.06,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/22/2014
M,93706.38,POL,Department of Police,Fulltime,Police Officer III,03/16/1998
F,100152.61,HHS,Department of Health and Human Services,Fulltime,Social Worker III,12/11/2006
M,107621.2872,POL,Department of Police,Fulltime,Police Sergeant,03/04/1991
M,70697.88,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/04/2007
M,61054.98,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),03/31/2008
M,183095.8038,DTS,Department of Technology Services,Fulltime,Manager I,12/31/2001
F,76226.64,POL,Department of Police,Fulltime,Police Officer III,01/14/2008
M,86130.99,POL,Department of Police,Fulltime,Master Police Officer,01/26/2004
M,98043.8916,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist III,03/03/1997
M,141565.8,DOT,Department of Transportation,Fulltime,Manager III,12/14/1998
F,72523.7065,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,11/28/2005
F,127331.76,DPS,Department of Permitting Services,Fulltime,Manager III,01/13/2014
M,78120.47,POL,Department of Police,Fulltime,Police Officer III,07/17/2006
M,79414.28,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/29/2009
M,149003.6982,POL,Department of Police,Fulltime,Manager II,03/23/2015
F,74139.94,HHS,Department of Health and Human Services,Fulltime,Behavioral Health Associate Counselor,06/12/2006
M,86764.26,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,01/30/2006
M,51823.5848,DOT,Department of Transportation,Fulltime,Public Service Worker II,08/09/1993
M,97732.779,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,06/03/2013
M,50797.85,DOT,Department of Transportation,Fulltime,Transit Coordinator,01/07/2013
M,42840,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Aide,04/22/2012
F,87925.8058,LIB,Department of Public Libraries,Fulltime,Library Associate II,09/26/1988
M,65759.1264,FIN,Department of Finance,Fulltime,Fiscal Assistant,03/20/2006
M,20627.3886,POL,Department of Police,Parttime,Crossing Guard,01/22/2008
M,60449.1146,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,05/16/2005
F,30831.8155,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,03/29/2013
M,73996.98,POL,Department of Police,Fulltime,Information Technology Technician III,11/13/2007
F,67963.0616,HHS,Department of Health and Human Services,Parttime,Dental Hygienist,04/17/1989
M,62924.01,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/14/2013
F,137402.1,DTS,Department of Technology Services,Fulltime,Manager III,02/06/2006
M,60521.22,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
F,57857.5206,HHS,Department of Health and Human Services,Parttime,Administrative Specialist I,02/05/1990
M,96035.2642,POL,Department of Police,Fulltime,Police Officer III,01/18/1994
M,98084.6552,HRC,Office of Human Rights,Fulltime,Investigator III,09/30/1996
M,55496.874,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,03/10/2014
F,74637.99,DEP,Department of Environmental Protection,Fulltime,Planning Specialist III,01/09/2017
M,50575.2814,DOT,Department of Transportation,Fulltime,Equipment Operator II,05/14/2007
M,108342.5476,CEC,Community Engagement Cluster,Fulltime,Community Outreach Manager,10/26/2009
F,85701.3332,LIB,Department of Public Libraries,Fulltime,Librarian II,09/29/2008
F,82121.589,HHS,Department of Health and Human Services,Fulltime,Social Worker III,05/29/2007
M,51539.1327,LIB,Department of Public Libraries,Fulltime,Library Assistant Supervisor,12/02/2013
M,69013.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/27/2006
F,77699.3,POL,Department of Police,Fulltime,Police District Station Assistant,05/07/1990
M,49670.28,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
M,44015.4848,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,07/30/2008
F,101373.7,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,08/17/1998
M,75098.2167,DPS,Department of Permitting Services,Fulltime,Permit Technician III,06/11/1990
F,80428.8375,COR,Correction and Rehabilitation,Fulltime,Correctional Health Nurse II,10/03/2016
M,40892.65,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,08/09/2011
F,61282.7516,POL,Department of Police,Fulltime,Forensics Specialist I,10/11/2010
M,110185.32,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,11/29/1999
F,90915.15,HHS,Department of Health and Human Services,Fulltime,Social Worker III,03/20/2017
F,54075.91,HHS,Department of Health and Human Services,Parttime,Supervisory Social Worker,09/21/1986
M,47089.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
F,102377.4,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,04/30/2007
M,55170.88,CCL,County Council,Fulltime,Public Administration Intern,10/17/2016
F,44986.7736,HHS,Department of Health and Human Services,Parttime,Therapist II,11/01/2004
M,88682,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,12/13/2004
M,63200.2,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,71085.96,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/09/2006
M,46166,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
M,97068.02,POL,Department of Police,Fulltime,Police Sergeant,02/03/2003
F,21447.9936,POL,Department of Police,Parttime,Crossing Guard,05/01/2006
M,93706.38,POL,Department of Police,Fulltime,Police Officer III,07/22/2002
M,59228.73,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
F,78701.8159,DOT,Department of Transportation,Fulltime,Management and Budget Specialist I,04/18/1994
F,107694.6234,OMB,Office of Management and Budget,Fulltime,Senior Information Technology Specialist,04/04/2016
F,63104.2647,HHS,Department of Health and Human Services,Parttime,Community Health Nurse II,03/08/2017
M,80856.56,POL,Department of Police,Fulltime,Police Officer III,01/17/2006
M,70758.94,POL,Department of Police,Fulltime,Police Officer III,07/14/2008
M,97654.8,FRS,Fire and Rescue Services,Fulltime,Emergency Vehicle Maintenance Crew Chief,07/03/2000
M,45510.5742,DOT,Department of Transportation,Fulltime,Bus Operator,07/25/2011
F,72221.0706,REC,Department of Recreation,Fulltime,Recreation Specialist,04/14/1997
M,87925.8058,DEP,Department of Environmental Protection,Fulltime,Program Specialist II,12/19/1994
F,48795.0232,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,06/15/2015
F,80030.279,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,07/14/1991
F,81169.9986,LIB,Department of Public Libraries,Fulltime,Library Assistant Supervisor,09/08/1994
F,76409.53,HHS,Department of Health and Human Services,Fulltime,Accountant/Auditor III,03/19/2007
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,08/07/1989
F,83651.3118,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,11/03/2015
M,47089.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
F,69540.5942,POL,Department of Police,Fulltime,Police Services Assistant,11/12/1985
M,84873.33,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,01/30/2006
F,64470.78,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
M,101832.822,POL,Department of Police,Fulltime,Master Police Officer,06/07/1982
F,98700.4017,HHS,Department of Health and Human Services,Fulltime,Social Worker III,07/14/2003
F,52157.16,HHS,Department of Health and Human Services,Fulltime,Social Worker II,08/21/2017
M,123799.44,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,05/03/2004
M,59850.45,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,02/27/2012
M,106953.8034,CCL,County Council,Fulltime,Confidential Aide,12/01/2014
M,90031.62,POL,Department of Police,Fulltime,Police Officer III,05/22/2000
F,105198.9036,HHS,Department of Health and Human Services,Fulltime,Senior Financial Specialist,11/01/1989
F,121372,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,12/13/1993
F,59671.5708,LIB,Department of Public Libraries,Fulltime,Library Assistant I,12/29/2000
F,71643.1023,HHS,Department of Health and Human Services,Parttime,Community Health Nurse II,08/19/1996
F,50299,LIB,Department of Public Libraries,Fulltime,Library Assistant Supervisor,08/07/2017
M,44618.21,DOT,Department of Transportation,Fulltime,Bus Operator,06/30/2014
M,69641.4213,HHS,Department of Health and Human Services,Fulltime,Environmental Health Specialist III,01/13/2014
M,85446.2,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,03/17/2008
M,86300.16,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,12/13/2004
F,58671.5,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,05/20/2013
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,06/25/1990
M,111396.3746,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,04/03/1995
M,80030.279,DGS,Department of General Services,Fulltime,Mechanic Technician II,06/19/1995
F,18878.81,POL,Department of Police,Parttime,Crossing Guard,01/13/2014
M,63252.2706,DGS,Department of General Services,Fulltime,Automotive Parts Technician II,10/12/2009
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,01/14/2002
F,101373.7,COR,Correction and Rehabilitation,Fulltime,Correctional Health Nurse II,08/08/2005
M,69825.9462,COR,Correction and Rehabilitation,Fulltime,Licensed Practical Nurse (C and R),12/05/2010
M,42067.3484,DOT,Department of Transportation,Fulltime,Bus Operator,08/08/2016
M,107621.2872,POL,Department of Police,Fulltime,Police Sergeant,06/25/1990
M,85758,POL,Department of Police,Fulltime,Police Officer III,07/21/2003
F,56068.9767,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,10/04/1999
M,36965.9136,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,07/28/2015
F,29789.7732,LIB,Department of Public Libraries,Parttime,Librarian I,10/20/2014
F,111102.4392,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,12/13/2005
F,103381.1,HHS,Department of Health and Human Services,Fulltime,Social Worker III,02/14/1994
M,102946.0608,DOT,Department of Transportation,Fulltime,Capital Projects Manager,01/11/2016
F,73232.3427,DHS,Office of Emergency Management and Homeland Security,Fulltime,Emergency Management Specialist II,05/02/2016
M,185879.43,PIO,Office of Public Information,Fulltime,Director Office of Public Information,01/03/1999
M,74732,POL,Department of Police,Fulltime,Police Officer III,07/16/2007
M,73665.36,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,11/27/2017
F,30547.6677,LIB,Department of Public Libraries,Parttime,Library Assistant I,05/27/1986
F,59322.027,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
F,71116.7766,REC,Department of Recreation,Fulltime,Recreation Specialist,11/04/2013
M,44618.21,DOT,Department of Transportation,Fulltime,Bus Operator,05/28/2014
M,135998.1912,OHR,Office of Human Resources,Fulltime,Manager III,10/17/2005
M,115732,DEP,Department of Environmental Protection,Fulltime,Senior Engineer,06/24/2002
F,119377.8691,POL,Department of Police,Fulltime,Senior Information Technology Specialist,03/23/2015
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,06/25/1990
M,82029.42,POL,Department of Police,Fulltime,Police Officer III,02/03/2003
F,96986.1084,POL,Department of Police,Fulltime,Police Officer III,01/18/1994
M,61867.08,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,36277.6194,COR,Correction and Rehabilitation,Fulltime,Office Clerk,10/12/2009
M,50673.72,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
F,98288.5035,HHS,Department of Health and Human Services,Fulltime,Therapist II,06/28/1999
F,62924.01,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),09/24/2012
F,64907.7462,REC,Department of Recreation,Fulltime,Office Services Coordinator,10/28/2002
F,60795.94,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),04/23/2012
M,38108.868,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,07/12/1990
M,66408.51,DOT,Department of Transportation,Fulltime,Equipment Operator II,12/17/2001
M,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
F,101313.478,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist III,01/27/1997
F,153310.8144,HHS,Department of Health and Human Services,Fulltime,Manager II,07/12/2004
M,52267.7,DEP,Department of Environmental Protection,Fulltime,Program Specialist I,04/21/2014
M,42067.3484,DOT,Department of Transportation,Fulltime,Bus Operator,09/19/2016
M,82490.88,LIB,Department of Public Libraries,Fulltime,Librarian II,10/08/2012
M,26005.8739,LIB,Department of Public Libraries,Parttime,Library Associate,12/02/2013
F,112526.726,OMB,Office of Management and Budget,Fulltime,Fiscal and Policy Analyst III,07/16/2012
M,60747.9751,DOT,Department of Transportation,Fulltime,Bus Operator,01/06/2003
M,45510.5742,DOT,Department of Transportation,Fulltime,Bus Operator,06/30/2014
M,59018.5974,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,07/28/2014
M,37291.1,DGS,Department of General Services,Fulltime,Office Clerk,08/11/2014
M,125904.765,FRS,Fire and Rescue Services,Fulltime,Manager III,01/03/1995
F,145742.4144,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,06/17/1996
F,106293.41,FIN,Department of Finance,Fulltime,Senior Business Development Specialist,03/05/2001
F,55908.4185,CUS,Community Use of Public Facilities,Fulltime,Program Specialist I,07/21/2002
F,45495.06,FRS,Fire and Rescue Services,Parttime,Firefighter/Rescuer III,10/09/2006
M,125566.11,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,09/20/1993
M,40967.5089,POL,Department of Police,Fulltime,Veterinary Assistant,06/13/2016
M,99598.322,POL,Department of Police,Fulltime,Administrative Specialist III,06/25/1990
M,62804.3388,POL,Department of Police,Fulltime,Security Officer IV (Lieutenant),10/20/2014
M,47318.1885,DOT,Department of Transportation,Fulltime,Bus Operator,11/28/2011
M,99598.322,HHS,Department of Health and Human Services,Fulltime,Social Worker II,04/23/1986
M,18972.5256,LIB,Department of Public Libraries,Parttime,Library Aide,12/12/2002
F,70270.86,CAT,County Attorney's Office,Fulltime,Legal Secretary II,11/04/1985
F,85867.65,LIB,Department of Public Libraries,Fulltime,Program Manager II,11/14/2016
F,79552.0143,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,07/28/2015
F,141565.8,POL,Department of Police,Fulltime,Manager III,08/13/1979
M,93706.38,POL,Department of Police,Fulltime,Police Officer III,03/15/1999
M,99033.381,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,11/16/1992
M,58723.56,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
M,99033.381,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/20/1993
F,183866.72,POL,Department of Police,Fulltime,Assistant Chief of Police,03/04/1991
M,70270.86,PRO,Office of Procurement,Fulltime,Office Services Coordinator,03/27/2000
F,95121.31,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,09/19/2005
F,30547.6677,LIB,Department of Public Libraries,Parttime,Library Assistant I,01/06/1989
M,27926.864,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,06/12/2017
M,85127.13,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/04/2007
M,81522.1638,HHS,Department of Health and Human Services,Fulltime,Social Worker III,07/10/2006
M,43443.05,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,12/19/2012
M,53806.74,POL,Department of Police,Fulltime,Police Officer III,07/11/2016
M,84608,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,12/13/2004
M,56785.4706,DOT,Department of Transportation,Fulltime,Bus Operator,04/25/2005
F,88849.14,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,07/25/1988
M,34870.507,DLC,Department of Liquor Control,Fulltime,Truck Driver Helper/Warehouse Worker,11/02/2015
F,56565.7274,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,04/09/2012
M,71085.96,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/30/2006
F,103136.18,OHR,Office of Human Resources,Fulltime,Human Resources Specialist III,11/27/2006
M,96348.78,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,05/16/2005
F,14980.68,DEP,Department of Environmental Protection,Parttime,Office Clerk,08/21/2017
M,67403,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
M,95084.42,POL,Department of Police,Fulltime,Police Officer III,06/13/1988
M,57241.8,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
F,122300,CEX,Offices of the County Executive,Parttime,Special Assistant to County Executive,04/18/2000
M,85758,POL,Department of Police,Fulltime,Police Officer III,02/03/2003
M,71480.97,POL,Department of Police,Fulltime,Police Officer III,05/03/2005
F,67723.53,DOT,Department of Transportation,Fulltime,Bus Operator,10/21/1984
M,43540.0496,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2015
